Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
27,71,"Mereka (orang-orang yang kufur) berkata, “Kapankah datangnya janji (azab) ini jika kamu orang-orang benar?”",kapan datang janji benar,kapankah datangnya janji benar,mereka berkata kapankah datangnya janji ini jika kamu orang orang benar
27,72,"Katakanlah (Nabi Muhammad), “Boleh jadi sebagian dari (azab) yang kamu minta disegerakan itu telah hampir sampai kepadamu.”",kata bagi minta segera hampir kepada,katakanlah sebagian minta disegerakan hampir kepadamu,katakanlah boleh jadi sebagian dari yang kamu minta disegerakan itu telah hampir sampai kepadamu
27,73,"Sesungguhnya Tuhanmu benar-benar Zat yang memberi karunia kepada manusia, tetapi kebanyakan mereka tidak bersyukur.",tuhan benar benar zat beri karunia manusia banyak syukur,tuhanmu benar benar zat memberi karunia manusia kebanyakan bersyukur,sesungguhnya tuhanmu benar benar zat yang memberi karunia kepada manusia tetapi kebanyakan mereka tidak bersyukur
27,74,Sesungguhnya Tuhanmu mengetahui apa yang mereka sembunyikan dalam dadanya dan apa yang mereka nyatakan.,tuhan tahu sembunyi dada nyata,tuhanmu mengetahui sembunyikan dadanya nyatakan,sesungguhnya tuhanmu mengetahui apa yang mereka sembunyikan dalam dadanya dan apa yang mereka nyatakan
27,75,Tidak ada sesuatu pun yang tersembunyi di langit dan di bumi melainkan (tercatat) dalam kitab yang nyata (Lauhulmahfuz).,ada pun sembunyi langit bumi kitab nyata,ada pun tersembunyi langit bumi kitab nyata,tidak ada sesuatu pun yang tersembunyi di langit dan di bumi melainkan dalam kitab yang nyata
27,76,Sesungguhnya Al-Qur’an ini menjelaskan kepada Bani Israil sebagian besar dari (persoalan) yang mereka perselisihkan.,qur jelas bani israil bagi besar selisih,qur menjelaskan bani israil sebagian besar perselisihkan,sesungguhnya al qur an ini menjelaskan kepada bani israil sebagian besar dari yang mereka perselisihkan
27,77,Sesungguhnya ia (Al-Qur’an) benar-benar menjadi petunjuk dan rahmat bagi orang-orang mukmin.,benar benar tunjuk rahmat mukmin,benar benar petunjuk rahmat mukmin,sesungguhnya ia benar benar menjadi petunjuk dan rahmat bagi orang orang mukmin
27,78,Sesungguhnya Tuhanmu akan menyelesaikan (perkara) di antara mereka dengan putusan-Nya. Dialah Yang Maha Perkasa lagi Maha Mengetahui.,tuhan selesai antara putus dia maha perkasa maha tahu,tuhanmu menyelesaikan antara putusan dialah maha perkasa maha mengetahui,sesungguhnya tuhanmu akan menyelesaikan di antara mereka dengan putusan nya dialah yang maha perkasa lagi maha mengetahui
27,79,"Maka, bertawakallah kepada Allah. Sesungguhnya engkau (Nabi Muhammad) berada di atas kebenaran yang nyata.",tawakal ada atas benar nyata,bertawakallah berada atas kebenaran nyata,maka bertawakallah kepada allah sesungguhnya engkau berada di atas kebenaran yang nyata
27,80,Sesungguhnya engkau tidak dapat menjadikan orang yang mati dan orang yang tuli dapat mendengar seruan apabila mereka telah berpaling ke belakang.,jadi mati tuli dapat dengar seru apabila paling belakang,menjadikan mati tuli dapat mendengar seruan apabila berpaling belakang,sesungguhnya engkau tidak dapat menjadikan orang yang mati dan orang yang tuli dapat mendengar seruan apabila mereka telah berpaling ke belakang
27,81,"Engkau bukanlah pemberi petunjuk bagi orang-orang yang buta (mata hatinya) dari kesesatannya. Engkau tidak dapat menjadikan (seorang pun) mendengar, kecuali orang yang beriman pada ayat-ayat Kami dan mereka berserah diri.",bukan beri tunjuk buta sesat dapat jadi dengar iman ayat ayat serah diri,bukanlah pemberi petunjuk buta kesesatannya dapat menjadikan mendengar beriman ayat ayat berserah diri,engkau bukanlah pemberi petunjuk bagi orang orang yang buta dari kesesatannya engkau tidak dapat menjadikan mendengar kecuali orang yang beriman pada ayat ayat kami dan mereka berserah diri
27,82,"Apabila perkataan (ketentuan masa kehancuran alam) telah berlaku atas mereka, Kami mengeluarkan makhluk bergerak dari bumi yang akan mengatakan kepada mereka bahwa manusia selama ini tidak yakin pada ayat-ayat Kami.",apabila kata laku atas keluar makhluk gerak bumi manusia yakin ayat ayat,apabila perkataan berlaku atas mengeluarkan makhluk bergerak bumi manusia yakin ayat ayat,apabila perkataan telah berlaku atas mereka kami mengeluarkan makhluk bergerak dari bumi yang akan mengatakan kepada mereka bahwa manusia selama ini tidak yakin pada ayat ayat kami
27,83,"(Ingatlah) pada hari (ketika) Kami mengumpulkan segolongan orang dari setiap umat, yaitu mereka yang mendustakan ayat-ayat Kami, lalu mereka dibagi-bagi (dalam kelompok).",hari kumpul golong umat dusta ayat ayat bagi,hari mengumpulkan segolongan umat mendustakan ayat ayat dibagi,pada hari kami mengumpulkan segolongan orang dari setiap umat yaitu mereka yang mendustakan ayat ayat kami lalu mereka dibagi bagi
27,84,"Sehingga, apabila mereka datang, Dia (Allah) berfirman, “Mengapa kamu mendustakan ayat-ayat-Ku, padahal kamu tidak mempunyai pengetahuan yang cukup tentang itu) atau (jika tidak mendustakannya), apa yang selalu kamu lakukan?”",apabila datang dusta ayat ayat padahal tahu cukup selalu laku,apabila datang mendustakan ayat ayat padahal pengetahuan cukup selalu lakukan,sehingga apabila mereka datang dia berfirman mengapa kamu mendustakan ayat ayat ku padahal kamu tidak mempunyai pengetahuan yang cukup tentang itu atau apa yang selalu kamu lakukan
27,85,Berlakulah perkataan (keputusan azab) atas mereka karena kezalimannya sehingga mereka tidak dapat berkata (untuk membela diri).,laku kata atas zalim dapat,berlakulah perkataan atas kezalimannya dapat,berlakulah perkataan atas mereka karena kezalimannya sehingga mereka tidak dapat berkata
27,86,Apakah mereka tidak memperhatikan bahwa Kami telah menciptakan malam agar mereka beristirahat padanya dan (menciptakan) siang yang terang-benderang? Sesungguhnya pada yang demikian itu terdapat tanda-tanda (kebesaran Allah) bagi kaum beriman.,perhati cipta malam istirahat pada siang terang benderang dapat tanda tanda kaum iman,memperhatikan menciptakan malam beristirahat padanya siang terang benderang terdapat tanda tanda kaum beriman,apakah mereka tidak memperhatikan bahwa kami telah menciptakan malam agar mereka beristirahat padanya dan siang yang terang benderang sesungguhnya pada yang demikian itu terdapat tanda tanda bagi kaum beriman
27,87,"(Ingatlah) pada hari (ketika) sangkakala ditiup sehingga terkejutlah semua yang ada di langit dan semua yang ada di bumi, kecuali yang Allah kehendaki. Semuanya datang menghadap-Nya dengan merendahkan diri.",hari sangkakala tiup kejut ada langit ada bumi hendak semua datang hadap rendah diri,hari sangkakala ditiup terkejutlah ada langit ada bumi kehendaki semuanya datang menghadap merendahkan diri,pada hari sangkakala ditiup sehingga terkejutlah semua yang ada di langit dan semua yang ada di bumi kecuali yang allah kehendaki semuanya datang menghadap nya dengan merendahkan diri
27,88,"Engkau akan melihat gunung-gunung yang engkau kira tetap di tempatnya, padahal ia berjalan seperti jalannya awan. (Demikianlah) penciptaan Allah menjadikan segala sesuatu dengan sempurna. Sesungguhnya Dia Maha Teliti terhadap apa yang kamu kerjakan.",lihat gunung gunung kira tetap tempat padahal jalan jalan awan cipta jadi segala sempurna maha teliti kerja,melihat gunung gunung kira tetap tempatnya padahal berjalan jalannya awan penciptaan menjadikan segala sempurna maha teliti kerjakan,engkau akan melihat gunung gunung yang engkau kira tetap di tempatnya padahal ia berjalan seperti jalannya awan penciptaan allah menjadikan segala sesuatu dengan sempurna sesungguhnya dia maha teliti terhadap apa yang kamu kerjakan
27,89,"Siapa yang datang membawa kebaikan, maka dia memperoleh (balasan) yang lebih baik daripadanya dan mereka merasa aman dari kejutan (yang dahsyat) pada hari itu.",siapa datang bawa baik dia oleh baik daripada rasa aman kejut hari,siapa datang membawa kebaikan dia memperoleh baik daripadanya merasa aman kejutan hari,siapa yang datang membawa kebaikan maka dia memperoleh yang lebih baik daripadanya dan mereka merasa aman dari kejutan pada hari itu
27,90,"Siapa yang datang membawa kejahatan, maka disungkurkanlah wajah mereka ke dalam neraka. Apakah kamu diberi balasan selain (yang setimpal) dengan apa yang telah kamu kerjakan?",siapa datang bawa jahat sungkur wajah neraka beri balas kerja,siapa datang membawa kejahatan disungkurkanlah wajah neraka diberi balasan kerjakan,siapa yang datang membawa kejahatan maka disungkurkanlah wajah mereka ke dalam neraka apakah kamu diberi balasan selain dengan apa yang telah kamu kerjakan
27,91,Sesungguhnya aku (Nabi Muhammad) hanya diperintahkan untuk menyembah Tuhan negeri ini (Makkah) yang telah menjadikannya suci dan memiliki segala sesuatu. Aku diperintahkan agar masuk ke dalam golongan orang-orang muslim.,perintah sembah negeri jadi suci segala perintah masuk golong muslim,diperintahkan menyembah negeri menjadikannya suci segala diperintahkan masuk golongan muslim,sesungguhnya aku hanya diperintahkan untuk menyembah tuhan negeri ini yang telah menjadikannya suci dan memiliki segala sesuatu aku diperintahkan agar masuk ke dalam golongan orang orang muslim
27,92,"(Aku juga hanya diperintahkan) agar membacakan Al-Qur’an (kepada manusia). Maka, siapa yang mendapat petunjuk, sesungguhnya dia mendapatkannya untuk (kebaikan) dirinya. Siapa yang sesat, maka katakanlah, “Sesungguhnya aku (ini) tidak lain hanyalah salah seorang pemberi peringatan.”",baca qur siapa dapat tunjuk dapat diri siapa sesat kata lain hanya salah orang beri ingat,membacakan qur siapa mendapat petunjuk mendapatkannya dirinya siapa sesat katakanlah lain hanyalah salah seorang pemberi peringatan,agar membacakan al qur an maka siapa yang mendapat petunjuk sesungguhnya dia mendapatkannya untuk dirinya siapa yang sesat maka katakanlah sesungguhnya aku tidak lain hanyalah salah seorang pemberi peringatan
27,93,"Katakanlah (Nabi Muhammad), “Segala puji bagi Allah. Dia akan memperlihatkan kepadamu tanda-tanda (kebesaran)-Nya sehingga kamu akan mengetahuinya. Tuhanmu tidak lengah terhadap apa yang kamu kerjakan.”",kata segala puji lihat kepada tanda tanda tahu tuhan lengah kerja,katakanlah segala puji memperlihatkan kepadamu tanda tanda mengetahuinya tuhanmu lengah kerjakan,katakanlah segala puji bagi allah dia akan memperlihatkan kepadamu tanda tanda nya sehingga kamu akan mengetahuinya tuhanmu tidak lengah terhadap apa yang kamu kerjakan
28,2,Itulah ayat-ayat Kitab (Al-Qur’an) yang jelas.,ayat ayat kitab jelas,ayat ayat kitab jelas,itulah ayat ayat kitab yang jelas
28,3,Kami membacakan kepadamu sebagian dari kisah Musa dan Firʻaun dengan sebenarnya untuk kaum beriman.,baca kepada bagi kisah musa fir aun benar kaum iman,membacakan kepadamu sebagian kisah musa firʻaun sebenarnya kaum beriman,kami membacakan kepadamu sebagian dari kisah musa dan firʻaun dengan sebenarnya untuk kaum beriman
28,4,Sesungguhnya Firʻaun telah berbuat sewenang-wenang di bumi dan menjadikan penduduknya berpecah-belah. Dia menindas segolongan dari mereka (Bani Israil). Dia menyembelih anak laki-laki mereka dan membiarkan hidup anak perempuannya. Sesungguhnya dia (Firʻaun) termasuk orang-orang yang berbuat kerusakan.,fir aun buat wenang wenang bumi jadi duduk pecah belah tindas golong sembelih anak laki laki biar hidup anak perempuan masuk buat rusa,firʻaun berbuat sewenang wenang bumi menjadikan penduduknya berpecah belah menindas segolongan menyembelih anak laki laki membiarkan hidup anak perempuannya termasuk berbuat kerusakan,sesungguhnya firʻaun telah berbuat sewenang wenang di bumi dan menjadikan penduduknya berpecah belah dia menindas segolongan dari mereka dia menyembelih anak laki laki mereka dan membiarkan hidup anak perempuannya sesungguhnya dia termasuk orang orang yang berbuat kerusakan
28,5,"Kami berkehendak untuk memberi karunia kepada orang-orang yang tertindas di bumi (Mesir) itu, menjadikan mereka para pemimpin, dan menjadikan mereka orang-orang yang mewarisi (bumi).",hendak beri karunia tindas bumi jadi pimpin jadi waris,berkehendak memberi karunia tertindas bumi menjadikan pemimpin menjadikan mewarisi,kami berkehendak untuk memberi karunia kepada orang orang yang tertindas di bumi itu menjadikan mereka para pemimpin dan menjadikan mereka orang orang yang mewarisi
28,6,"Kami pun (berkehendak untuk) meneguhkan kedudukan mereka (Bani Israil) di bumi dan memperlihatkan kepada Firʻaun, Haman, dan bala tentaranya apa yang selalu mereka takutkan dari mereka (Bani Israil).)",pun teguh duduk bumi lihat fir aun ham bala tentara selalu takut,pun meneguhkan kedudukan bumi memperlihatkan firʻaun haman bala tentaranya selalu takutkan,kami pun meneguhkan kedudukan mereka di bumi dan memperlihatkan kepada firʻaun haman dan bala tentaranya apa yang selalu mereka takutkan dari mereka
28,7,"Kami mengilhamkan kepada ibu Musa, “Susuilah dia (Musa). Jika engkau khawatir atas (keselamatan)-nya, hanyutkanlah dia ke sungai (Nil dalam sebuah peti yang mengapung). Janganlah engkau takut dan janganlah (pula) bersedih. Sesungguhnya Kami pasti mengembalikannya kepadamu dan menjadikannya sebagai salah seorang rasul.”",ilham ibu musa susu khawatir atas hanyut sungai jangan takut jangan sedih pasti kembali kepada jadi salah orang rasul,mengilhamkan ibu musa susuilah khawatir atas hanyutkanlah sungai janganlah takut janganlah bersedih pasti mengembalikannya kepadamu menjadikannya salah seorang rasul,kami mengilhamkan kepada ibu musa susuilah dia jika engkau khawatir atas nya hanyutkanlah dia ke sungai janganlah engkau takut dan janganlah bersedih sesungguhnya kami pasti mengembalikannya kepadamu dan menjadikannya sebagai salah seorang rasul
28,8,"Kemudian, keluarga Firʻaun memungutnya agar (kelak) dia menjadi musuh dan (penyebab) kesedihan bagi mereka. Sesungguhnya Firʻaun, Haman, dan bala tentaranya adalah orang-orang salah.",keluarga fir aun mungut dia musuh sedih fir aun ham bala tentara salah,keluarga firʻaun memungutnya dia musuh kesedihan firʻaun haman bala tentaranya salah,kemudian keluarga firʻaun memungutnya agar dia menjadi musuh dan kesedihan bagi mereka sesungguhnya firʻaun haman dan bala tentaranya adalah orang orang salah
28,9,"Istri Firʻaun berkata (kepadanya), “(Anak ini) adalah penyejuk hati bagiku dan bagimu. Janganlah kamu membunuhnya. Mudah-mudahan dia memberi manfaat bagi kita atau kita mengambilnya sebagai anak.” Mereka tidak menyadari (bahwa anak itulah, Musa, yang kelak menjadi sebab kebinasaan mereka).",istri fir aun sejuk hati bagi bagi jangan bunuh mudah mudah beri manfaat ambil anak sadar,istri firʻaun penyejuk hati bagiku bagimu janganlah membunuhnya mudah mudahan memberi manfaat mengambilnya anak menyadari,istri firʻaun berkata adalah penyejuk hati bagiku dan bagimu janganlah kamu membunuhnya mudah mudahan dia memberi manfaat bagi kita atau kita mengambilnya sebagai anak mereka tidak menyadari
28,10,"Hati ibu Musa menjadi hampa.) Sungguh, hampir saja dia mengungkapkan (bahwa bayi itu adalah anaknya), seandainya Kami tidak meneguhkan hatinya agar dia termasuk orang-orang yang beriman (kepada janji Allah).",hati ibu musa hampa hampir dia ungkap anda teguh hati dia masuk iman,hati ibu musa hampa hampir dia mengungkapkan seandainya meneguhkan hatinya dia termasuk beriman,hati ibu musa menjadi hampa sungguh hampir saja dia mengungkapkan seandainya kami tidak meneguhkan hatinya agar dia termasuk orang orang yang beriman
28,11,"Dia (ibu Musa) berkata kepada saudara perempuan Musa, “Ikutilah jejaknya.” Kemudian, dia melihatnya dari kejauhan, sedangkan mereka (pengikut Firʻaun) tidak menyadarinya.",saudara perempuan musa ikut jejak lihat jauh sadar,saudara perempuan musa ikutilah jejaknya melihatnya kejauhan menyadarinya,dia berkata kepada saudara perempuan musa ikutilah jejaknya kemudian dia melihatnya dari kejauhan sedangkan mereka tidak menyadarinya
28,12,"Kami mencegahnya (Musa) menyusu kepada perempuan-perempuan yang mau menyusui(-nya) sebelum (kembali ke pangkuan ibunya). Berkatalah dia (saudara perempuan Musa), “Maukah aku tunjukkan kepadamu keluarga yang akan memeliharanya untukmu dan mereka dapat berlaku baik kepadanya?”",cegah susu perempuan perempuan mau susu kata mau tunjuk kepada keluarga pelihara untuk laku baik kepada,mencegahnya menyusu perempuan perempuan mau menyusui berkatalah maukah tunjukkan kepadamu keluarga memeliharanya untukmu berlaku baik kepadanya,kami mencegahnya menyusu kepada perempuan perempuan yang mau menyusui sebelum berkatalah dia maukah aku tunjukkan kepadamu keluarga yang akan memeliharanya untukmu dan mereka dapat berlaku baik kepadanya
28,13,"Lalu, Kami mengembalikan dia (Musa) kepada ibunya agar senang hatinya serta tidak bersedih, dan agar dia mengetahui bahwa janji Allah adalah benar, tetapi kebanyakan mereka tidak mengetahuinya.",kembali ibu senang hati sedih tahu janji benar banyak tahu,mengembalikan ibunya senang hatinya bersedih mengetahui janji benar kebanyakan mengetahuinya,lalu kami mengembalikan dia kepada ibunya agar senang hatinya serta tidak bersedih dan agar dia mengetahui bahwa janji allah adalah benar tetapi kebanyakan mereka tidak mengetahuinya
28,14,"Setelah dia (Musa) dewasa dan sempurna akalnya, Kami menganugerahkan kepadanya hikmah dan pengetahuan. Demikianlah Kami memberi balasan kepada orang-orang yang berbuat kebajikan.",dia dewasa sempurna akal anugerah kepada hikmah tahu demikian beri balas buat kebaji,dia dewasa sempurna akalnya menganugerahkan kepadanya hikmah pengetahuan demikianlah memberi balasan berbuat kebajikan,setelah dia dewasa dan sempurna akalnya kami menganugerahkan kepadanya hikmah dan pengetahuan demikianlah kami memberi balasan kepada orang orang yang berbuat kebajikan
28,15,"Dia (Musa) masuk ke kota) ketika penduduknya sedang lengah. Dia mendapati di dalam kota itu dua orang laki-laki yang sedang berkelahi, seorang dari golongannya (Bani Israil) dan seorang (lagi) dari golongan musuhnya (kaum Firʻaun). Orang yang dari golongannya meminta pertolongan kepadanya untuk (mengalahkan) orang yang dari golongan musuhnya. Musa lalu memukulnya dan (tanpa sengaja) membunuhnya. Dia berkata, “Ini termasuk perbuatan setan. Sesungguhnya dia adalah musuh yang jelas-jelas menyesatkan.”",masuk kota duduk sedang lengah dapat kota dua laki laki sedang kelah orang golong orang golong musuh golong minta tolong kepada golong musuh musa pukul bunuh masuk buat setan musuh jelas jelas sesat,masuk kota penduduknya sedang lengah mendapati kota dua laki laki sedang berkelahi seorang golongannya seorang golongan musuhnya golongannya meminta pertolongan kepadanya golongan musuhnya musa memukulnya membunuhnya termasuk perbuatan setan musuh jelas jelas menyesatkan,dia masuk ke kota ketika penduduknya sedang lengah dia mendapati di dalam kota itu dua orang laki laki yang sedang berkelahi seorang dari golongannya dan seorang dari golongan musuhnya orang yang dari golongannya meminta pertolongan kepadanya untuk orang yang dari golongan musuhnya musa lalu memukulnya dan membunuhnya dia berkata ini termasuk perbuatan setan sesungguhnya dia adalah musuh yang jelas jelas menyesatkan
28,16,"Dia (Musa) berdoa, “Ya Tuhanku, sesungguhnya aku telah menzalimi diriku sendiri, maka ampunilah aku.” Dia (Allah) lalu mengampuninya. Sesungguhnya Dialah Yang Maha Pengampun lagi Maha Penyayang.",doa tuhan zalim diri sendiri ampun ampun dia maha kam maha sayang,berdoa tuhanku menzalimi diriku sendiri ampunilah mengampuninya dialah maha pengampun maha penyayang,dia berdoa ya tuhanku sesungguhnya aku telah menzalimi diriku sendiri maka ampunilah aku dia lalu mengampuninya sesungguhnya dialah yang maha pengampun lagi maha penyayang
28,17,"Dia (Musa) berkata, “Ya Tuhanku, karena nikmat yang telah Engkau anugerahkan kepadaku, (tuntunlah aku) sehingga aku tidak akan menjadi penolong bagi orang-orang yang berbuat durhaka.”",tuhan nikmat anugerah kepada tolong buat durhaka,tuhanku nikmat anugerahkan kepadaku penolong berbuat durhaka,dia berkata ya tuhanku karena nikmat yang telah engkau anugerahkan kepadaku sehingga aku tidak akan menjadi penolong bagi orang orang yang berbuat durhaka
28,18,"Karena (peristiwa) itu, dia (Musa) menjadi ketakutan berada di kota sambil menunggu (akibat dari apa yang dilakukannya). Tiba-tiba orang yang kemarin meminta pertolongan berteriak-teriak meminta pertolongan lagi kepadanya. Musa berkata kepadanya, “Sesungguhnya engkau adalah orang yang jelas-jelas sesat.”",takut ada kota tunggu tiba tiba kemarin minta tolong teriak teriak minta tolong kepada musa kepada jelas jelas sesat,ketakutan berada kota menunggu tiba tiba kemarin meminta pertolongan berteriak teriak meminta pertolongan kepadanya musa kepadanya jelas jelas sesat,karena itu dia menjadi ketakutan berada di kota sambil menunggu tiba tiba orang yang kemarin meminta pertolongan berteriak teriak meminta pertolongan lagi kepadanya musa berkata kepadanya sesungguhnya engkau adalah orang yang jelas jelas sesat
28,19,"Ketika dia (Musa) hendak memukul orang yang merupakan musuh mereka berdua, dia (musuhnya) berkata, “Wahai Musa, apakah engkau bermaksud membunuhku sebagaimana kemarin engkau membunuh seseorang? Engkau hanya bermaksud menjadi orang yang berbuat sewenang-wenang di negeri (ini) dan tidak bermaksud menjadi salah satu dari orang-orang yang mengadakan perdamaian.”",hendak pukul musuh dua dia wahai musa maksud bunuh bagaimana kemarin bunuh orang maksud buat wenang wenang negeri maksud salah satu ada damai,hendak memukul musuh berdua dia wahai musa bermaksud membunuhku sebagaimana kemarin membunuh seseorang bermaksud berbuat sewenang wenang negeri bermaksud salah satu mengadakan perdamaian,ketika dia hendak memukul orang yang merupakan musuh mereka berdua dia berkata wahai musa apakah engkau bermaksud membunuhku sebagaimana kemarin engkau membunuh seseorang engkau hanya bermaksud menjadi orang yang berbuat sewenang wenang di negeri dan tidak bermaksud menjadi salah satu dari orang orang yang mengadakan perdamaian
28,20,"Seorang laki-laki datang bergegas dari ujung kota seraya berkata, “Wahai Musa, sesungguhnya para pembesar negeri sedang berunding tentang engkau untuk membunuhmu. Maka, (lekaslah engkau) keluar (dari kota ini). Sesungguhnya aku termasuk orang-orang yang memberi nasihat kepadamu.”",orang laki laki datang gegas ujung kota wahai musa besar negeri sedang runding bunuh keluar masuk beri nasihat kepada,seorang laki laki datang bergegas ujung kota wahai musa pembesar negeri sedang berunding membunuhmu keluar termasuk memberi nasihat kepadamu,seorang laki laki datang bergegas dari ujung kota seraya berkata wahai musa sesungguhnya para pembesar negeri sedang berunding tentang engkau untuk membunuhmu maka keluar sesungguhnya aku termasuk orang orang yang memberi nasihat kepadamu
28,21,"Maka, keluarlah dia (Musa) dari kota itu dengan rasa takut dan waspada. Dia berdoa, “Ya Tuhanku, selamatkanlah aku dari kaum yang zalim.”",keluar kota rasa takut waspada doa tuhan selamat kaum zalim,keluarlah kota rasa takut waspada berdoa tuhanku selamatkanlah kaum zalim,maka keluarlah dia dari kota itu dengan rasa takut dan waspada dia berdoa ya tuhanku selamatkanlah aku dari kaum yang zalim
28,22,"Ketika menuju ke arah negeri Madyan,) dia (Musa) berdoa, “Semoga Tuhanku membimbingku ke jalan yang benar.”",tuju arah negeri madyan doa moga tuhan bimbing jalan benar,menuju arah negeri madyan berdoa semoga tuhanku membimbingku jalan benar,ketika menuju ke arah negeri madyan dia berdoa semoga tuhanku membimbingku ke jalan yang benar
28,23,"Ketika sampai di sumber air negeri Madyan, dia menjumpai di sana sekumpulan orang yang sedang memberi minum (ternaknya) dan dia menjumpai di belakang mereka ada dua orang perempuan sedang menghalau (ternaknya dari sumber air). Dia (Musa) berkata, “Apa maksudmu (berbuat begitu)?” Kedua (perempuan) itu menjawab, “Kami tidak dapat memberi minum (ternak kami) sebelum para penggembala itu memulangkan (ternaknya), sedangkan ayah kami adalah orang tua yang telah lanjut usia.”",sampai sumber air negeri madyan jumpa sana kumpul sedang beri minum jumpa belakang ada perempuan sedang halau dia maksud dua jawab beri minum gembala pulang ayah tua lanjut usia,sampai sumber air negeri madyan menjumpai sana sekumpulan sedang memberi minum menjumpai belakang ada perempuan sedang menghalau dia maksudmu kedua menjawab memberi minum penggembala memulangkan ayah tua lanjut usia,ketika sampai di sumber air negeri madyan dia menjumpai di sana sekumpulan orang yang sedang memberi minum dan dia menjumpai di belakang mereka ada dua orang perempuan sedang menghalau dia berkata apa maksudmu kedua itu menjawab kami tidak dapat memberi minum sebelum para penggembala itu memulangkan sedangkan ayah kami adalah orang tua yang telah lanjut usia
28,24,"Maka, dia (Musa) memberi minum (ternak) kedua perempuan itu. Dia kemudian berpindah ke tempat yang teduh, lalu berdoa, “Ya Tuhanku, sesungguhnya aku sangat memerlukan suatu kebaikan (rezeki) yang Engkau turunkan kepadaku.”",dia beri minum dua perempuan dia pindah tempat teduh doa tuhan perlu baik turun kepada,dia memberi minum kedua perempuan dia berpindah tempat teduh berdoa tuhanku memerlukan kebaikan turunkan kepadaku,maka dia memberi minum kedua perempuan itu dia kemudian berpindah ke tempat yang teduh lalu berdoa ya tuhanku sesungguhnya aku sangat memerlukan suatu kebaikan yang engkau turunkan kepadaku
28,25,"Lalu, datanglah kepada Musa salah seorang dari keduanya itu sambil berjalan dengan malu-malu. Dia berkata, “Sesungguhnya ayahku mengundangmu untuk memberi balasan sebagai imbalan atas (kebaikan)-mu memberi minum (ternak) kami.” Ketika (Musa) mendatanginya dan menceritakan kepadanya kisah (dirinya), dia berkata, “Janganlah engkau takut! Engkau telah selamat dari orang-orang yang zalim itu.”",datang musa salah orang dua sambil jalan malu malu ayah undang beri balas imbal atas beri minum datang cerita kepada kisah jangan takut selamat zalim,datanglah musa salah seorang keduanya sambil berjalan malu malu ayahku mengundangmu memberi balasan imbalan atas memberi minum mendatanginya menceritakan kepadanya kisah janganlah takut selamat zalim,lalu datanglah kepada musa salah seorang dari keduanya itu sambil berjalan dengan malu malu dia berkata sesungguhnya ayahku mengundangmu untuk memberi balasan sebagai imbalan atas mu memberi minum kami ketika mendatanginya dan menceritakan kepadanya kisah dia berkata janganlah engkau takut engkau telah selamat dari orang orang yang zalim itu
28,26,"Salah seorang dari kedua (perempuan) itu berkata, “Wahai ayahku, pekerjakanlah dia. Sesungguhnya sebaik-baik orang yang engkau pekerjakan adalah orang yang kuat lagi dapat dipercaya.”",salah orang dua wahai ayah kerja baik baik kerja kuat dapat percaya,salah seorang kedua wahai ayahku pekerjakanlah sebaik baik pekerjakan kuat dapat dipercaya,salah seorang dari kedua itu berkata wahai ayahku pekerjakanlah dia sesungguhnya sebaik baik orang yang engkau pekerjakan adalah orang yang kuat lagi dapat dipercaya
28,27,"Dia (ayah kedua perempuan itu) berkata, “Sesungguhnya aku bermaksud menikahkanmu dengan salah seorang dari kedua anak perempuanku ini dengan ketentuan bahwa engkau bekerja padaku selama delapan tahun. Jika engkau menyempurnakannya sepuluh tahun, itu adalah (suatu kebaikan) darimu. Aku tidak bermaksud memberatkanmu. Insyaallah engkau akan mendapatiku termasuk orang-orang yang baik.”",maksud nikah salah orang dua anak perempuan tentu kerja pada delapan tahun sempurna puluh tahun dari maksud berat insyaallah dapat masuk baik,bermaksud menikahkanmu salah seorang kedua anak perempuanku ketentuan bekerja padaku delapan tahun menyempurnakannya sepuluh tahun darimu bermaksud memberatkanmu insyaallah mendapatiku termasuk baik,dia berkata sesungguhnya aku bermaksud menikahkanmu dengan salah seorang dari kedua anak perempuanku ini dengan ketentuan bahwa engkau bekerja padaku selama delapan tahun jika engkau menyempurnakannya sepuluh tahun itu adalah darimu aku tidak bermaksud memberatkanmu insyaallah engkau akan mendapatiku termasuk orang orang yang baik
28,28,"Dia (Musa) berkata, “Itu (perjanjian) antara aku dan engkau. Yang mana saja dari kedua waktu yang ditentukan itu yang aku sempurnakan, maka tidak ada tuntutan atas diriku (lagi). Allah menjadi saksi atas apa yang kita ucapkan.”",antara mana dua waktu tentu sempurna tuntut atas diri saksi atas ucap,antara mana kedua waktu ditentukan sempurnakan tuntutan atas diriku saksi atas ucapkan,dia berkata itu antara aku dan engkau yang mana saja dari kedua waktu yang ditentukan itu yang aku sempurnakan maka tidak ada tuntutan atas diriku allah menjadi saksi atas apa yang kita ucapkan
