Surat,Ayat,Teks,processed_advanced
26,97,"“Demi Allah, sesungguhnya kami dahulu (di dunia) benar-benar dalam kesesatan yang nyata.",benar benar sesat nyata
26,98,(Yaitu) ketika kami mempersamakan kamu (berhala-berhala) dengan Tuhan semesta alam.,sama semesta alam
26,99,"Tidak ada yang menyesatkan kami, kecuali para pendosa.",ada sesat kecuali dosa
26,100,Tidak ada pemberi syafaat (penolong) untuk kami.,ada beri syafaat
26,101,Tidak pula ada teman akrab.,pula teman akrab
26,102,"Seandainya dapat kembali (ke dunia), niscaya kami menjadi orang-orang yang beriman.”",anda niscaya iman
26,103,"Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.",benar benar dapat tanda banyak iman
26,104,"Sesungguhnya Tuhanmu, Dialah yang benar-benar Maha Perkasa lagi Maha Penyayang.",tuhan dia benar benar maha perkasa maha sayang
26,105,Kaum Nuh telah mendustakan para rasul.,kaum nuh dusta rasul
26,106,"Ketika saudara mereka, Nuh, berkata kepada mereka, “Mengapa kamu tidak bertakwa?",saudara nuh takwa
26,107,Sesungguhnya aku adalah seorang rasul tepercaya (yang diutus) kepadamu.,orang rasul percaya kepada
26,108,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.",takwa taat kepada
26,109,"Aku tidak meminta imbalan kepadamu atas (ajakan) itu. Imbalanku tidak lain, kecuali dari Tuhan semesta alam.",minta imbal kepada atas imbal lain semesta alam
26,110,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.”",takwa taat kepada
26,111,"Mereka berkata, “Apakah kami harus beriman kepadamu, padahal yang mengikutimu adalah orang-orang hina?”",iman kepada padahal ikut hina
26,112,"Dia (Nuh) menjawab, “Apa pengetahuanku tentang apa yang biasa mereka kerjakan?",jawab tahu biasa kerja
26,113,"Perhitungan (amal) mereka tidak lain, kecuali ada pada Tuhanku jika kamu menyadari.",hitung kecuali tuhan sadar
26,114,Aku tidak akan mengusir orang-orang yang beriman.,usir iman
26,115,"Aku tidak lain, kecuali pemberi peringatan yang jelas.”",lain beri ingat jelas
26,116,"Mereka berkata, “Wahai Nuh, jika tidak berhenti (dalam berdakwah), niscaya engkau akan termasuk orang-orang yang dirajam.”",wahai nuh henti niscaya masuk rajam
26,117,"Dia (Nuh) berkata, “Wahai Tuhanku, sesungguhnya kaumku telah mendustakanku.",wahai tuhan kaum dusta
26,118,"Maka, berilah keputusan antara aku dan mereka serta selamatkanlah aku dan orang-orang mukmin bersamaku.”",ilah putus selamat mukmin sama
26,119,Kami selamatkan dia (Nuh) dan orang-orang yang bersamanya di dalam kapal yang penuh muatan.,selamat sama kapal penuh muat
26,120,"Kemudian, Kami tenggelamkan orang-orang yang tersisa (tidak beriman) setelah itu.",tenggelam sisa
26,121,"Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.",benar benar dapat tanda banyak iman
26,122,"Sesungguhnya Tuhanmu, Dialah yang benar-benar Maha Perkasa lagi Maha Penyayang.",tuhan dia benar benar maha perkasa maha sayang
26,123,(Kaum) ‘Ad telah mendustakan para rasul.,dusta rasul
26,124,"Ketika saudara mereka, Hud, berkata kepada mereka, “Mengapa kamu tidak bertakwa?",saudara hud takwa
26,125,Sesungguhnya aku adalah seorang rasul tepercaya (yang diutus) kepadamu.,orang rasul percaya kepada
26,126,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.",takwa taat kepada
26,127,"Aku tidak meminta imbalan kepadamu atas (ajakan) itu. Imbalanku tidak lain, kecuali dari Tuhan semesta alam.",minta imbal kepada atas imbal lain semesta alam
26,128,Apakah kamu mendirikan istana di setiap tanah yang tinggi untuk kemegahan tanpa ditempati?,diri istana tanah tinggi megah tempat
26,129,Kamu (juga) membuat benteng-benteng dengan harapan hidup kekal?,buat benteng benteng harap hidup kekal
26,130,"Apabila menyiksa, kamu lakukan secara kejam dan bengis.",apabila siksa laku kejam bengis
26,131,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.",takwa taat kepada
26,132,Bertakwalah kepada (Allah) yang telah menganugerahkan kepadamu apa yang kamu ketahui.,takwa anugerah kepada tahu
26,133,Dia (Allah) telah menganugerahkan hewan ternak dan anak-anak kepadamu.,anugerah hewan ternak anak anak kepada
26,134,(Dia juga menganugerahkan) kebun-kebun dan mata air.,kebun kebun mata air
26,135,Sesungguhnya aku takut bahwa kamu akan ditimpa azab pada hari yang dahsyat.”,takut timpa azab hari dahsyat
26,136,"Mereka menjawab, “Sama saja bagi kami, apakah engkau memberi nasihat atau tidak memberi nasihat.",jawab sama bagi apakah beri nasihat beri nasihat
26,137,(Agama kami) ini tidak lain adalah agama orang-orang terdahulu.,agama dahulu
26,138,Kami (sama sekali) tidak akan diazab.”,azab
26,139,"Maka, mereka mendustakannya (Hud). Lalu, Kami membinasakan mereka. Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.",dusta binasa benar benar dapat tanda banyak iman
26,140,"Sesungguhnya Tuhanmu, Dialah yang benar-benar Maha Perkasa lagi Maha Penyayang.",tuhan dia benar benar maha perkasa maha sayang
26,141,(Kaum) Samud telah mendustakan para rasul.,samud dusta rasul
26,142,"Ketika saudara mereka, Saleh, berkata kepada mereka, “Mengapa kamu tidak bertakwa?",saudara saleh takwa
26,143,Sesungguhnya aku adalah seorang rasul tepercaya (yang diutus) kepadamu.,orang rasul percaya kepada
26,144,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.",takwa taat kepada
26,145,"Aku tidak meminta imbalan kepadamu atas (ajakan) itu. Imbalanku tidak lain, kecuali dari Tuhan semesta alam.",minta imbal kepada atas imbal lain semesta alam
26,146,Apakah kamu (mengira) akan dibiarkan tinggal di sini (negerimu) dengan aman?,biar tinggal sini aman
26,147,"(Yaitu,) di dalam kebun-kebun dan mata air.",kebun kebun mata air
26,148,"Dan, tanam-tanaman serta pohon kurma yang mayangnya lembut.",tanam tanam pohon kurma mayang lembut
26,149,Kamu pahat dengan terampil sebagian gunung-gunung untuk dijadikan rumah-rumah yang mewah.,pahat terampil bagi gunung gunung jadi rumah rumah mewah
26,150,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.",takwa taat kepada
26,151,Janganlah mengikuti perintah orang-orang yang melampaui batas.,jangan ikut perintah lampau batas
26,152,(Mereka) yang berbuat kerusakan di bumi dan tidak melakukan perbaikan.”,buat rusak bumi laku baik
26,153,"Mereka berkata, “Sesungguhnya engkau hanyalah termasuk orang-orang yang terkena sihir.",hanya masuk kena sihir
26,154,"Engkau tidak lain hanyalah manusia seperti kami. Maka, datangkanlah tanda (mukjizat) jika engkau termasuk orang-orang yang benar.”",lain hanya manusia datang tanda masuk benar
26,155,"Dia (Saleh) menjawab, “Ini seekor unta betina. Dia punya (giliran) minum dan kamu punya (giliran) minum (pula) pada hari yang ditentukan.",jawab ekor unta betina punya minum punya minum hari tentu
26,156,Janganlah menyentuhnya dengan suatu kejahatan. Nanti kamu akan ditimpa azab pada hari yang dahsyat.”,jangan sentuh jahat timpa azab hari dahsyat
26,157,"Mereka membunuhnya, lalu mereka menjadi orang-orang yang menyesal.",bunuh sesal
26,158,"Mereka ditimpa azab. Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.",timpa azab benar benar dapat tanda banyak iman
26,159,"Sesungguhnya Tuhanmu, Dialah yang benar-benar Maha Perkasa lagi Maha Penyayang.",tuhan dia benar benar maha perkasa maha sayang
26,160,Kaum Lut telah mendustakan para rasul.,kaum lut dusta rasul
26,161,"Ketika saudara mereka, Lut, berkata kepada mereka, “Mengapa kamu tidak bertakwa?”",saudara lut takwa
26,162,Sesungguhnya aku adalah seorang rasul tepercaya (yang diutus) kepadamu.,orang rasul percaya kepada
26,163,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.",takwa taat kepada
26,164,Aku tidak meminta imbalan kepadamu atas (ajakan) itu. Imbalanku tidak lain hanyalah dari Tuhan semesta alam.,minta imbal kepada atas imbal lain hanya semesta alam
26,165,Mengapa kamu mendatangi jenis laki-laki di antara manusia (berbuat homoseks)?,datang jenis laki laki manusia
26,166,"Sementara itu, kamu tinggalkan (perempuan) yang diciptakan Tuhan untuk menjadi istri-istrimu? Kamu (memang) kaum yang melampaui batas.”",tinggal cipta istri istri kaum lampau batas
26,167,"Mereka menjawab, “Wahai Lut, jika tidak berhenti (melarang kami), niscaya engkau benar-benar akan termasuk orang-orang yang diusir.”",jawab wahai lut henti niscaya benar benar masuk usir
26,168,"Dia (Lut) berkata, “Sesungguhnya aku termasuk orang-orang yang sangat benci terhadap perbuatanmu.”",masuk benci buat
26,169,"(Lut berdoa,) “Wahai Tuhanku, selamatkanlah aku dan keluargaku dari apa yang mereka perbuat.”",wahai tuhan selamat keluarga buat
26,170,"Maka, Kami selamatkan dia bersama semua keluarganya,",selamat sama keluarga
26,171,kecuali seorang perempuan tua (istrinya) yang termasuk golongan (orang-orang kafir) yang tertinggal.,orang perempuan tua masuk golong tinggal
26,172,"Kemudian, Kami binasakan yang lain.",binasa lain
26,173,Kami hujani mereka (dengan batu). Betapa buruk hujan yang menimpa orang-orang yang telah diberi peringatan itu.,hujan betapa buruk hujan timpa beri ingat
26,174,"Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.",benar benar dapat tanda banyak iman
26,175,"Sesungguhnya Tuhanmu, Dialah yang benar-benar Maha Perkasa lagi Maha Penyayang.",tuhan dia benar benar maha perkasa maha sayang
26,176,Penduduk Aikah (Madyan) telah mendustakan para rasul.,duduk aikah dusta rasul
26,177,"Ketika Syu‘aib berkata kepada mereka, “Mengapa kamu tidak bertakwa?",syu aib takwa
26,178,Sesungguhnya aku adalah seorang rasul tepercaya (yang diutus) kepadamu.,orang rasul percaya kepada
26,179,"Maka, bertakwalah kepada Allah dan taatlah kepadaku.",takwa taat kepada
26,180,"Aku tidak meminta imbalan kepadamu atas (ajakan) itu. Imbalanku tidak lain, kecuali dari Tuhan semesta alam.",minta imbal kepada atas imbal lain semesta alam
26,181,Sempurnakanlah takaran dan janganlah kamu termasuk orang-orang yang merugikan orang lain.,sempurna takar jangan masuk rugi
26,182,Timbanglah dengan timbangan yang benar.,timbang timbang benar
26,183,Janganlah kamu merugikan manusia dengan mengurangi hak-haknya dan janganlah membuat kerusakan di bumi.,jangan rugi manusia kurang hak hak jangan buat rusak bumi
26,184,Bertakwalah kepada Allah yang telah menciptakanmu dan umat-umat yang terdahulu.”,takwa cipta umat umat dahulu
26,185,"Mereka berkata, “Sesungguhnya engkau hanyalah termasuk orang-orang yang terkena sihir.",hanya masuk kena sihir
26,186,Engkau tidak lain hanyalah seorang manusia seperti kami dan sesungguhnya kami yakin bahwa engkau benar-benar termasuk para pembohong.,lain hanya orang manusia yakin benar benar masuk bohong
26,187,"Maka, jatuhkanlah kepada kami kepingan-kepingan dari langit (agar kami binasa) jika engkau termasuk orang-orang yang benar.”",jatuh keping keping langit masuk benar
26,188,"Dia (Syu‘aib) berkata, “Tuhanku paling mengetahui apa yang kamu kerjakan.”",tuhan paling tahu kerja
26,189,"Lalu, mereka mendustakannya (Syu‘aib). Maka, mereka ditimpa azab pada hari yang berawan gelap. Sesungguhnya itu adalah azab hari yang dahsyat.",dusta timpa azab hari awan gelap azab hari dahsyat
26,190,"Sesungguhnya pada yang demikian itu benar-benar terdapat tanda (kekuasaan Allah), tetapi kebanyakan mereka tidak beriman.",benar benar dapat tanda banyak iman
26,191,"Sesungguhnya Tuhanmu, Dialah yang benar-benar Maha Perkasa lagi Maha Penyayang.",tuhan dia benar benar maha perkasa maha sayang
26,192,Sesungguhnya ia (Al-Qur’an) benar-benar diturunkan Tuhan semesta alam.,benar benar turun semesta alam
26,193,Ia (Al-Qur’an) dibawa turun oleh Ruhulamin (Jibril).,bawa turun ruhulamin
26,194,(Diturunkan) ke dalam hatimu (Nabi Muhammad) agar engkau menjadi salah seorang pemberi peringatan.,hati salah orang beri ingat
26,195,(Diturunkan) dengan bahasa Arab yang jelas.,bahasa arab jelas
26,196,Sesungguhnya ia (Al-Qur’an) benar-benar (disebut) dalam kitab-kitab orang terdahulu.,benar benar kitab kitab dahulu
26,197,Apakah tidak (cukup) menjadi bukti bagi mereka bahwa ia (Al-Qur’an) diketahui oleh para ulama Bani Israil?,bukti tahu ulama bani israil
26,198,Seandainya Kami menurunkannya kepada sebagian dari golongan non-Arab.,anda turun bagi golong non arab
26,199,"Lalu, dia membacakannya kepada mereka (orang-orang kafir), niscaya mereka tidak juga akan beriman kepadanya.",baca niscaya iman kepada
26,200,"Demikianlah, Kami masukkan (sifat dusta dan ingkar) ke dalam hati para pendurhaka.",demikian masuk hati durhaka
26,201,Mereka tidak akan beriman kepadanya hingga melihat azab yang pedih.,iman kepada lihat azab pedih
26,202,"Maka, datanglah ia (azab) kepada mereka secara tiba-tiba, sedangkan mereka tidak menyadarinya.",datang tiba tiba sadar
26,203,"Lalu, mereka berkata, “Apakah kami diberi penangguhan waktu?”",beri tangguh waktu
26,204,Bukankah mereka yang meminta agar azab Kami disegerakan?,bukankah minta azab segera
26,205,Bagaimana pendapatmu jika kepada mereka Kami berikan kenikmatan hidup beberapa tahun?,dapat ikan nikmat hidup tahun
26,206,"Kemudian, ia (azab) yang diancamkan datang kepada mereka.",ancam datang
26,207,Niscaya kenikmatan yang mereka rasakan tidak berguna baginya.,niscaya nikmat rasa guna bagi
26,208,"Kami tidak membinasakan suatu negeri, kecuali setelah ada pemberi peringatan kepadanya.",binasa negeri beri ingat kepada
26,209,(Hal itu) sebagai peringatan. Kami sekali-kali bukanlah orang-orang zalim.,ingat sekali kali bukan zalim
26,210,(Al-Qur’an) itu tidaklah dibawa turun oleh setan-setan.,tidak bawa turun setan setan
26,211,Tidaklah pantas bagi mereka (membawa turun Al-Qur’an itu) dan mereka pun tidak akan sanggup.,tidak pantas sanggup
26,212,Sesungguhnya mereka (setan-setan) benar-benar dijauhkan (dari berita langit).,benar benar jauh
26,213,"Maka, janganlah engkau (Nabi Muhammad) menyembah Tuhan lain bersama Allah. Nanti kamu termasuk orang-orang yang diazab.",jangan sembah sama masuk azab
26,214,Berilah peringatan kepada keluargamu yang terdekat.,ilah ingat keluarga dekat
26,215,"Rendahkanlah hatimu terhadap orang-orang yang mengikutimu, yaitu orang-orang mukmin.",rendah hati ikut mukmin
26,216,"Jika mereka mendurhakaimu, katakanlah, “Sesungguhnya aku tidak bertanggung jawab terhadap apa yang kamu kerjakan.”",durhaka kata tanggung jawab kerja
26,217,Bertawakallah kepada (Allah) Yang Maha Perkasa lagi Maha Penyayang.,tawakal maha perkasa maha sayang
26,218,(Dia) yang melihat ketika engkau berdiri (untuk salat).,lihat diri
26,219,"Dan, (melihat) perubahan gerakan badanmu di antara orang-orang yang sujud.",ubah gera badan sujud
26,220,Sesungguhnya Dialah Yang Maha Mendengar lagi Maha Mengetahui.,dia maha dengar maha tahu
26,221,"Maukah Aku beritakan kepadamu, kepada siapa setan-setan itu turun?",mau berita kepada siapa setan setan turun
26,222,Mereka (setan) turun kepada setiap pendusta lagi banyak berdosa.,turun dusta dosa
26,223,"Mereka menyampaikan hasil pendengarannya, sedangkan kebanyakan mereka adalah para pendusta.",sampai hasil dengar banyak dusta
26,224,Para penyair itu diikuti oleh orang-orang yang sesat.,sair ikut sesat
26,225,Tidakkah engkau melihat bahwa mereka merambah setiap lembah kepalsuan),tidak lihat rambah lembah palsu
26,226,dan bahwa mereka mengatakan apa yang mereka sendiri tidak mengerjakan(-nya)?,sendiri kerja
26,227,"Kecuali (para penyair) yang beriman, beramal saleh, banyak mengingat Allah, dan bangkit membela (kebenaran) setelah terzalimi. Orang-orang yang zalim kelak akan mengetahui ke mana mereka akan kembali.",iman amal saleh ingat bangkit bela zalim zalim kelak tahu mana
27,1,"Ṭā Sīn. Inilah ayat-ayat Al-Qur’an dan Kitab Suci yang jelas (kandungannya),",s n ini ayat ayat qur kitab suci jelas
27,2,"(sebagai) petunjuk dan berita gembira bagi orang-orang mukmin,",tunjuk berita gembira mukmin
27,3,"(yaitu) orang-orang yang menegakkan salat, menunaikan zakat, dan meyakini adanya akhirat.",tegak salat tunai zakat yakin ada akhirat
27,4,"Sesungguhnya orang-orang yang tidak beriman kepada akhirat, Kami jadikan terasa indah bagi mereka perbuatan-perbuatannya (yang buruk). Maka, mereka terombang-ambing (dalam kesesatan).",iman akhirat jadi asa indah buat buat terombang ambing
27,5,Mereka itulah orang-orang yang mendapat siksaan buruk (di dunia) dan di akhirat mereka adalah orang-orang yang paling rugi.,itu dapat siksa buruk akhirat paling rugi
27,6,Sesungguhnya engkau (Nabi Muhammad) benar-benar telah diberi Al-Qur’an dari sisi (Allah) Yang Maha Bijaksana lagi Maha Mengetahui.,benar benar beri qur sisi maha bijaksana maha tahu
27,7,"(Ingatlah) ketika Musa berkata kepada istrinya, “Sesungguhnya aku melihat api. Aku akan membawa kabar tentangnya kepadamu atau membawa suluh api (obor) agar kamu dapat menghangatkan badan (dekat api).”",musa istri lihat api bawa kabar tentang kepada bawa suluh api hangat badan
27,8,"Maka, ketika tiba di sana (tempat api itu), dia diseru, “Orang yang berada di dekat api dan orang yang berada di sekitarnya telah diberkahi. Maha Suci Allah, Tuhan semesta alam.”",tiba sana seru ada dekat api ada sekitar kah maha suci semesta alam
27,9,"(Allah berfirman,) “Wahai Musa, sesungguhnya Aku adalah Allah Yang Maha Perkasa lagi Maha Bijaksana.",wahai musa maha perkasa maha bijaksana
27,10,"Lemparkanlah tongkatmu!” Ketika (tongkat itu dilemparkan) Musa melihatnya bergerak-gerak seperti seekor ular kecil yang gesit, berlarilah dia sambil berbalik ke belakang tanpa menoleh. (Allah pun berfirman,) “Wahai Musa, jangan takut! Sesungguhnya di hadapan-Ku para rasul tidak perlu takut,",lempar tongkat musa lihat gerak gerak ekor ular kecil gesit lari sambil balik belakang toleh wahai musa jangan takut hadap rasul perlu takut
27,11,kecuali orang yang berlaku zalim yang kemudian mengganti keburukan(-nya) dengan kebaikan (bertobat). Sesungguhnya Aku Maha Pengampun lagi Maha Penyayang.,laku zalim ganti keburu baik maha kam maha sayang
27,12,"Masukkanlah tanganmu ke leher bajumu,) ia akan keluar (dalam keadaan bercahaya) putih bukan karena cacat. (Kedua mukjizat ini) termasuk sembilan macam mukjizat (yang akan ditunjukkan) kepada Fir‘aun dan kaumnya. Sesungguhnya mereka benar-benar kaum yang fasik.”",masuk tangan leher baju keluar putih cacat masuk sembilan macam mukjizat fir aun kaum benar benar kaum fasik
27,13,"Ketika mukjizat-mukjizat Kami yang terang itu sampai kepada mereka, mereka berkata, “Ini sihir yang nyata.”",mukjizat mukjizat terang sampai sihir nyata
27,14,"Mereka mengingkarinya karena kezaliman dan kesombongan, padahal hati mereka meyakini (kebenaran)-nya. Perhatikanlah bagaimana kesudahan orang-orang yang berbuat kerusakan.",ingkar zalim sombong padahal hati yakin perhati sudah buat rusak
27,15,"Sungguh, Kami benar-benar telah menganugerahkan ilmu kepada Daud dan Sulaiman. Keduanya berkata, “Segala puji bagi Allah yang melebihkan kami daripada kebanyakan hamba-hamba-Nya yang mukmin.”",benar benar anugerah ilmu daud sulaiman dua segala puji lebih daripada banyak hamba hamba mukmin
27,16,"Sulaiman telah mewarisi Daud) dan dia (Sulaiman) berkata, “Wahai manusia, kami telah diajari (untuk memahami) bahasa burung dan kami dianugerahi segala sesuatu. Sesungguhnya (semua) ini benar-benar karunia yang nyata.”",sulaiman waris daud wahai manusia ajar bahasa burung anugerah segala benar benar karunia nyata
27,17,"Untuk Sulaiman dikumpulkanlah bala tentara dari (kalangan) jin, manusia, dan burung, lalu mereka diatur dengan tertib",sulaiman kumpul bala tentara jin manusia burung atur tertib
27,18,"hingga ketika sampai di lembah semut, ratu semut berkata, “Wahai para semut, masuklah ke dalam sarangmu agar kamu tidak diinjak oleh Sulaiman dan bala tentaranya, sedangkan mereka tidak menyadarinya.”",sampai lembah semut ratu semut wahai semut masuk sarang injak sulaiman bala tentara sadar
27,19,"Dia (Sulaiman) tersenyum seraya tertawa karena (mendengar) perkataan semut itu. Dia berdoa, “Ya Tuhanku, anugerahkanlah aku (ilham dan kemampuan) untuk tetap mensyukuri nikmat-Mu yang telah Engkau anugerahkan kepadaku dan kepada kedua orang tuaku dan untuk tetap mengerjakan kebajikan yang Engkau ridai. (Aku memohon pula) masukkanlah aku dengan rahmat-Mu ke dalam golongan hamba-hamba-Mu yang saleh.”",senyum tertawa kata semut doa tuhan anugerah tetap syukur nikmat anugerah kepada dua tua tetap kerja kebaji rida masuk rahmat golong hamba hamba saleh
27,20,"Dia (Sulaiman) memeriksa (pasukan) burung, lalu berkata, “Mengapa aku tidak melihat Hudhud?) Ataukah ia termasuk yang tidak hadir?",periksa burung lihat hudhud atau masuk hadir
27,21,"Pasti akan kuhukum ia dengan hukuman yang berat atau kusembelih ia, kecuali jika ia datang kepadaku dengan alasan yang jelas.”",hukum hukum berat sembelih kecuali datang kepada alas jelas
27,22,"Tidak lama kemudian (datanglah Hudhud), lalu ia berkata, “Aku telah mengetahui sesuatu yang belum engkau ketahui. Aku datang kepadamu dari negeri Saba’) membawa suatu berita penting yang meyakinkan (kebenarannya.)",lama tahu tahu datang kepada negeri saba bawa berita penting yakin
27,23,Sesungguhnya aku mendapati ada seorang perempuan) yang memerintah mereka (penduduk negeri Saba’). Dia dianugerahi segala sesuatu dan memiliki singgasana yang besar.,dapat orang perempuan perintah anugerah segala singgasana besar
27,24,"Aku (burung Hudhud) mendapati dia dan kaumnya sedang menyembah matahari, bukan Allah. Setan telah menghiasi perbuatan-perbuatan (buruk itu agar terasa indah) bagi mereka sehingga menghalanginya dari jalan (Allah). Mereka tidak mendapat petunjuk.",dapat kaum sedang sembah matahari setan hias buat buat halang jalan dapat tunjuk
27,25,Mereka (juga) tidak menyembah Allah yang mengeluarkan apa yang terpendam di langit dan di bumi) dan yang mengetahui apa yang kamu sembunyikan dan yang kamu nyatakan.,sembah keluar pendam langit bumi tahu sembunyi nyata
27,26,"Allah, tidak ada tuhan melainkan Dia, Tuhan yang mempunyai ʻArasy yang agung.”",ada arasy agung
27,27,"Dia (Sulaiman) berkata, “Kami akan memperhatikan apakah engkau benar atau termasuk orang-orang yang berdusta.",perhati benar masuk dusta
27,28,"Pergilah dengan (membawa) suratku ini, lalu jatuhkanlah kepada mereka. Kemudian berpalinglah dari mereka, lalu perhatikanlah apa yang mereka bicarakan!”",pergi surat jatuh paling perhati bicara
27,29,"Dia (Balqis) berkata, “Wahai para pembesar, sesungguhnya telah disampaikan kepadaku sebuah surat yang penting.”",wahai besar sampai kepada buah surat penting
27,30,"Sesungguhnya (surat) itu berasal dari Sulaiman yang isinya (berbunyi,) “Dengan nama Allah Yang Maha Pengasih lagi Maha Penyayang.",asal sulaiman isi nama maha asih maha sayang
27,31,Janganlah engkau berlaku sombong terhadapku dan datanglah kepadaku sebagai orang-orang yang berserah diri!”,jangan laku sombong hadap datang kepada serah diri
27,32,"Dia (Balqis) berkata, “Wahai para pembesar, berilah aku pertimbangan dalam urusanku (ini). Aku tidak pernah memutuskan suatu urusan sebelum kamu hadir (dalam majelisku).”",wahai besar ilah timbang urus pernah putus urus hadir
27,33,"Mereka menjawab, “Kita memiliki kekuatan dan ketangkasan yang luar biasa (untuk berperang), tetapi keputusan berada di tanganmu. Maka, pertimbangkanlah apa yang akan engkau perintahkan.”",jawab kuat tangkas luar biasa putus ada tangan timbang perintah
27,34,"Dia (Balqis) berkata, “Sesungguhnya raja-raja apabila menaklukkan suatu negeri, mereka tentu membinasakannya dan menjadikan penduduknya yang mulia jadi hina. Demikianlah yang mereka akan perbuat.",raja raja apabila takluk negeri tentu binasa jadi duduk mulia hina demikian buat
27,35,Sesungguhnya aku akan mengirim utusan kepada mereka dengan (membawa) hadiah dan (aku) akan menunggu apa yang akan dibawa kembali oleh para utusan itu.”,kirim utus hadiah tunggu bawa utus
27,36,"Ketika (para utusan itu) sampai kepada Sulaiman, dia berkata, “Apakah kamu akan memberi harta kepadaku (sebagai hadiah)? Apa yang Allah berikan kepadaku lebih baik daripada apa yang Allah berikan kepadamu, tetapi kamu merasa bangga dengan hadiahmu.",sampai sulaiman beri harta kepada ikan kepada baik ikan kepada rasa bangga hadiah
27,37,Pulanglah kepada mereka (dengan membawa kembali hadiahmu)! Kami pasti akan mendatangi mereka dengan bala tentara yang tidak mungkin dikalahkan. Kami pasti akan mengusir mereka dari negeri itu (Saba’) dalam keadaan terhina lagi tunduk.”,pulang pasti datang bala tentara kalah pasti usir negeri ada hina tunduk
27,38,"Dia (Sulaiman) berkata, “Wahai para pembesar, siapakah di antara kamu yang sanggup membawakanku singgasananya sebelum mereka datang menyerahkan diri?”",wahai besar siapa sanggup bawa singgasana datang serah diri
27,39,"Ifrit dari golongan jin berkata, “Akulah yang akan membawanya kepadamu sebelum engkau berdiri dari singgasanamu. Sesungguhnya aku benar-benar kuat lagi dapat dipercaya.”",ifrit golong jin aku bawa kepada diri singgasana benar benar kuat dapat percaya
27,40,"Seorang yang mempunyai ilmu dari kitab suci) berkata, “Aku akan mendatangimu dengan membawa (singgasana) itu sebelum matamu berkedip.” Ketika dia (Sulaiman) melihat (singgasana) itu ada di hadapannya, dia pun berkata, “Ini termasuk karunia Tuhanku untuk mengujiku apakah aku bersyukur atau berbuat kufur. Siapa yang bersyukur, maka sesungguhnya dia bersyukur untuk (kebaikan) dirinya sendiri. Siapa yang berbuat kufur, maka sesungguhnya Tuhanku Maha Kaya lagi Maha Mulia.”",orang ilmu kitab suci datang bawa mata kedip lihat ada hadap pun masuk karunia tuhan uji syukur buat kufur siapa syukur syukur diri sendiri siapa buat kufur tuhan maha kaya maha mulia
27,41,"Dia (Sulaiman) berkata, “Ubahlah untuknya singgasananya, kita akan melihat apakah dia (Balqis) mengenali(-nya) atau tidak mengenali.”",ubah untuk singgasana lihat nali nali
27,42,"Ketika dia (Balqis) datang, ditanyakanlah (kepadanya), “Serupa inikah singgasanamu?” Dia (Balqis) menjawab, “Sepertinya ya. Kami telah diberi pengetahuan sebelumnya) dan kami adalah orang-orang yang berserah diri (kepada Allah).”",datang tanya rupa ini singgasana jawab seperti beri tahu belum serah diri
27,43,Kebiasaannya (Balqis) menyembah selain Allah telah mencegahnya (dari tauhid). Sesungguhnya dia dahulu termasuk kaum yang kafir.,biasa sembah cegah masuk kaum kafir
27,44,"Dikatakan kepadanya (Balqis), “Masuklah ke istana.” Ketika dia (Balqis) melihat (lantai istana) itu, dia menyangkanya kolam air yang besar. Dia menyingkapkan (gaun yang menutupi) kedua betisnya. Dia (Sulaiman) berkata, “Sesungguhnya ini hanyalah lantai licin (berkilap) yang terbuat dari kaca.” Dia (Balqis) berkata, “Ya Tuhanku, sesungguhnya aku telah berbuat zalim terhadap diriku. Aku berserah diri bersama Sulaiman kepada Allah, Tuhan semesta alam.”",kata kepada masuk istana lihat sangka kolam air besar singkap dua betis hanya lantai licin buat kaca tuhan buat zalim diri serah diri sama sulaiman semesta alam
27,45,"Sungguh, Kami benar-benar telah mengutus kepada (kaum) Samud saudara mereka (sesuku), yaitu Saleh (yang menyeru), “Sembahlah Allah!” Tiba-tiba mereka (menjadi) dua golongan yang bermusuhan.",benar benar utus samud saudara yaitu saleh sembah tiba tiba dua golong musuh
27,46,"Dia (Saleh) berkata, “Wahai kaumku, mengapa kamu meminta disegerakan keburukan (azab) sebelum (meminta) kebaikan (rahmat)? Mengapa kamu tidak memohon ampunan kepada Allah agar kamu dirahmati?”",wahai kaum minta segera keburu baik mohon ampun rahmat
